"Transformers (2007)","Transformers (2007)","Transformers 2007","Michael Bay's Transformers","Transformers 1"
"Transformers: Dark of the Moon","Transformers: Dark of the Moon","Dark of the Moon","Transformers 3","DotM"
"Transformers: The Movie (1986)","Transformers: The Movie (1986)","Transformers 1986","The Animated Movie","TF:TM"
"Bumblebee (2018)","Bumblebee (2018)","Bumblebee","Bumblebee movie","Bumblebee 2018"
"Transformers: Prime","Transformers: Prime","Transformers Prime","TFP","Prime series"
"Transformers: Revenge of the Fallen","Transformers: Revenge of the Fallen","Revenge of the Fallen","Transformers 2","ROTF"
"Transformers: Animated","Transformers: Animated","Transformers Animated","TFA"
"War for Cybertron games","War for Cybertron games","War for Cybertron","WFC","Cybertron games"
"IDW Transformers Comics","IDW Transformers Comics","IDW comics","IDW Transformers"
