"Optimus Prime", "Optimus Prime", "Optimus", "Prime", "OP", "The Prime"
"Megatron", "Megatron", "Megs", "Lord Megatron"
"Bumblebee", "Bumblebee", "Bee", "Bumble Bee", "B-127"
"Starscream", "Starscream", "Screamer", "The Seeker"
"Grimlock", "Grimlock", "Grim", "Dinobot King"
"Soundwave", "Soundwave", "The Communications Officer"
"Shockwave", "Shockwave", "The Logic One"
"Arcee", "Arcee", "The Femme"
"Ironhide", "Ironhide", "The Weapons Specialist"
"Rodimus Prime", "Rodimus Prime", "Rodimus", "Hot Rod"
"Cliffjumper", "Cliffjumper", "Cliff"
"Skywarp", "Skywarp", "The Teleporter"
"Wheeljack", "Wheeljack", "The Engineer"
"Chromia", "Chromia"
